"filename", "language", "JavaScript", "PostCSS", "JSON", "Dotenv", "JavaScript JSX", "JSON with Comments", "TypeScript", "comment", "blank", "total"
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\my-leagues\division-overview.jsx", "JavaScript JSX", 0, 0, 0, 0, 269, 0, 0, 0, 11, 280
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\my-leagues\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 93, 0, 0, 1, 13, 107
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(entity-onboarding)\_layout.jsx", "JavaScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(entity-onboarding)\admin-or-player.jsx", "JavaScript JSX", 0, 0, 0, 0, 64, 0, 0, 0, 6, 70
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(entity-onboarding)\create-divisions.jsx", "JavaScript JSX", 0, 0, 0, 0, 588, 0, 0, 30, 60, 678
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(entity-onboarding)\create-join-team.jsx", "JavaScript JSX", 0, 0, 0, 0, 60, 0, 0, 0, 6, 66
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(entity-onboarding)\create-season.jsx", "JavaScript JSX", 0, 0, 0, 0, 149, 0, 0, 0, 13, 162
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(entity-onboarding)\district-name.jsx", "JavaScript JSX", 0, 0, 0, 0, 124, 0, 0, 3, 12, 139
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(entity-onboarding)\district-settings.jsx", "JavaScript JSX", 0, 0, 0, 0, 149, 0, 0, 1, 7, 157
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(entity-onboarding)\division-rewards.jsx", "JavaScript JSX", 0, 0, 0, 0, 296, 0, 0, 11, 27, 334
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(entity-onboarding)\pending-request.jsx", "JavaScript JSX", 0, 0, 0, 0, 148, 0, 0, 0, 18, 166
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(entity-onboarding)\profile-claim.jsx", "JavaScript JSX", 0, 0, 0, 0, 225, 0, 0, 1, 36, 262
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(entity-onboarding)\team-address.jsx", "JavaScript JSX", 0, 0, 0, 0, 194, 0, 0, 0, 17, 211
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(entity-onboarding)\team-confirm.jsx", "JavaScript JSX", 0, 0, 0, 0, 145, 0, 0, 0, 16, 161
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(entity-onboarding)\team-crest.jsx", "JavaScript JSX", 0, 0, 0, 0, 74, 0, 0, 0, 11, 85
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(entity-onboarding)\team-division-request.jsx", "JavaScript JSX", 0, 0, 0, 0, 235, 0, 0, 2, 25, 262
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(entity-onboarding)\team-name.jsx", "JavaScript JSX", 0, 0, 0, 0, 229, 0, 0, 0, 24, 253
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(entity-onboarding)\team-photo.jsx", "JavaScript JSX", 0, 0, 0, 0, 89, 0, 0, 0, 8, 97
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(entity-onboarding)\unique-code.jsx", "JavaScript JSX", 0, 0, 0, 0, 329, 0, 0, 11, 39, 379
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(profile-onboarding)\_layout.jsx", "JavaScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 2, 13
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(profile-onboarding)\avatar.jsx", "JavaScript JSX", 0, 0, 0, 0, 148, 0, 0, 3, 18, 169
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(profile-onboarding)\dob.jsx", "JavaScript JSX", 0, 0, 0, 0, 141, 0, 0, 3, 9, 153
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(profile-onboarding)\gender.jsx", "JavaScript JSX", 0, 0, 0, 0, 87, 0, 0, 0, 9, 96
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(profile-onboarding)\name.jsx", "JavaScript JSX", 0, 0, 0, 0, 101, 0, 0, 0, 12, 113
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\(profile-onboarding)\nickname.jsx", "JavaScript JSX", 0, 0, 0, 0, 72, 0, 0, 0, 6, 78
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\_layout.jsx", "JavaScript JSX", 0, 0, 0, 0, 56, 0, 0, 0, 7, 63
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\profile\_layout.jsx", "JavaScript JSX", 0, 0, 0, 0, 7, 0, 0, 0, 4, 11
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\onboarding\profile\edit-profile.jsx", "JavaScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 4, 15
