"filename", "language", "JavaScript", "JSON", "JavaScript JSX", "Dotenv", "comment", "blank", "total"
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\auth\forgot-password.jsx", "JavaScript JSX", 0, 0, 46, 0, 1, 6, 53
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\auth\login.jsx", "JavaScript JSX", 0, 0, 226, 0, 7, 29, 262
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\auth\reset-password.jsx", "JavaScript JSX", 0, 0, 110, 0, 2, 9, 121
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\auth\signup.jsx", "JavaScript JSX", 0, 0, 207, 0, 2, 21, 230
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\AnimatedSearchBar.jsx", "JavaScript JSX", 0, 0, 10, 0, 0, 0, 10
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\AwaitingResultCard.jsx", "JavaScript JSX", 0, 0, 29, 0, 0, 0, 29
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\BadgeTierScrollView.jsx", "JavaScript JSX", 0, 0, 1, 0, 0, 0, 1
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\BasicPaywall.jsx", "JavaScript JSX", 0, 0, 41, 0, 0, -3, 38
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\BottomSheetWrapper.jsx", "JavaScript JSX", 0, 0, 8, 0, 0, 0, 8
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\CTAButton.jsx", "JavaScript JSX", 0, 0, 3, 0, 0, 0, 3
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\CompareEntityStats.jsx", "JavaScript JSX", 0, 0, 469, 0, 7, 31, 507
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\CompareTeamStats.jsx", "JavaScript JSX", 0, 0, 316, 0, 4, 21, 341
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\CompareTeamStatsRows.jsx", "JavaScript JSX", 0, 0, 253, 0, 2, 5, 260
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\CompetitionInstanceCard.jsx", "JavaScript JSX", 0, 0, 209, 0, 9, 26, 244
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\CompetitionRules.jsx", "JavaScript JSX", 0, 0, 301, 0, 3, 16, 320
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\ConfirmFramesList.jsx", "JavaScript JSX", 0, 0, 109, 0, 6, 31, 146
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\ConfirmModal.jsx", "JavaScript JSX", 0, 0, 1, 0, 0, 0, 1
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\CustomDatePicker.jsx", "JavaScript JSX", 0, 0, 50, 0, 0, 2, 52
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\CustomDropdown.jsx", "JavaScript JSX", 0, 0, 6, 0, 0, 0, 6
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\CustomMultiSelect.jsx", "JavaScript JSX", 0, 0, 91, 0, 5, 13, 109
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\CustomTextInput.jsx", "JavaScript JSX", 0, 0, 14, 0, 2, 4, 20
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\DivisionAccordion.jsx", "JavaScript JSX", 0, 0, 117, 0, 2, 8, 127
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\DivisionsList.jsx", "JavaScript JSX", 0, 0, 47, 0, 3, 11, 61
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\DonutChart.jsx", "JavaScript JSX", 0, 0, 8, 0, 0, 0, 8
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\EntityStats.jsx", "JavaScript JSX", 0, 0, 168, 0, 0, 6, 174
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\FixturePage.jsx", "JavaScript JSX", 0, 0, 50, 0, 0, 2, 52
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\FixturesAccordion.jsx", "JavaScript JSX", 0, 0, 153, 0, 4, 11, 168
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\FixturesList.jsx", "JavaScript JSX", 0, 0, 21, 0, -3, 0, 18
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\FloatingBottomSheet.jsx", "JavaScript JSX", 0, 0, -4, 0, 0, 0, -4
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\FormWidget.jsx", "JavaScript JSX", 0, 0, 40, 0, 1, 4, 45
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\FramesList.jsx", "JavaScript JSX", 0, 0, 22, 0, 2, 3, 27
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\HeadToHead.jsx", "JavaScript JSX", 0, 0, 10, 0, 0, 0, 10
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\Heading.jsx", "JavaScript JSX", 0, 0, -2, 0, 0, 0, -2
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\HomeScreenCardLarge.jsx", "JavaScript JSX", 0, 0, -1, 0, 0, 0, -1
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\KnockoutBracket.jsx", "JavaScript JSX", 0, 0, 245, 0, 11, 54, 310
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\Last5MatchesList.jsx", "JavaScript JSX", 0, 0, 4, 0, 0, 0, 4
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\LeaderboardCard.jsx", "JavaScript JSX", 0, 0, -22, 0, 0, -2, -24
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\LeaderboardRow.jsx", "JavaScript JSX", 0, 0, 91, 0, 5, 8, 104
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\LeagueHomeCard.jsx", "JavaScript JSX", 0, 0, 9, 0, 0, 2, 11
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\LeagueTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 1, 0, 1
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\LeagueTableWrapper.jsx", "JavaScript JSX", 0, 0, 34, 0, -2, -1, 31
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\LoadingScreen.jsx", "JavaScript JSX", 0, 0, 16, 0, 0, 3, 19
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\LoadingSplash.jsx", "JavaScript JSX", 0, 0, -109, 0, -2, -13, -124
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\MultiOptionSlidingToggle.jsx", "JavaScript JSX", 0, 0, 107, 0, 2, 12, 121
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\NavBar2.jsx", "JavaScript JSX", 0, 0, -1, 0, 3, 2, 4
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\PendingResultCard.jsx", "JavaScript JSX", 0, 0, 38, 0, 0, 0, 38
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\PlayerCard.jsx", "JavaScript JSX", 0, 0, 2, 0, 0, 1, 3
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\PlayerProfile.jsx", "JavaScript JSX", 0, 0, 228, 0, 2, 19, 249
