"filename", "language", "JSON", "JavaScript", "PostCSS", "TypeScript", "JSON with Comments", "JavaScript JSX", "Dotenv", "comment", "blank", "total"
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\profile\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 135, 0, 0, 7, 142
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\rankings\_layout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 4, 16
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\rankings\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 127, 0, 0, 6, 133
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\rankings\podium\_layout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 7, 0, 0, 4, 11
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\rankings\podium\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 87, 0, 0, 6, 93
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\Abbreviation.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 24, 0, 0, 3, 27
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\Account.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 283, 0, 8, 27, 318
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\ExcludedDates.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 104, 0, 2, 9, 115
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\FixtureAndScheduling.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 69, 0, 0, 5, 74
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\LeagueConfig.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 72, 0, 0, 6, 78
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\MatchDays.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 119, 0, 0, 15, 134
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\MatchFrequency.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 43, 0, 0, 4, 47
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\MatchTimes.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 108, 0, 0, 15, 123
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\PersonalDetails.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 5, 0, 0, 3, 8
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\PlayerManagement.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 103, 0, 1, 7, 111
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\Privacy.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 59, 0, 1, 5, 65
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\SignInAndSecurity.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 36, 0, 0, 5, 41
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\StartNewSeason.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 355, 0, 9, 33, 397
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\TeamCoverImage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 88, 0, 2, 15, 105
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\TeamCrest.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 64, 0, 1, 6, 71
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\TeamDetails.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 74, 0, 1, 7, 82
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\TeamManagement.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 104, 0, 2, 8, 114
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\[playerId].jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 206, 0, 0, 9, 215
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\_layout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 7, 0, 0, 4, 11
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\settings\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 77, 0, 0, 7, 84
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\teams\[userId]\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 42, 0, 0, 4, 46
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\teams\[userId]\player-stats\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 7, 0, 0, 3, 10
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\teams\_layout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 6, 0, 0, 3, 9
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\(main)\teams\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 40, 0, 0, 6, 46
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\+not-found.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 51, 0, 1, 7, 59
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\_layout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 69, 0, 2, 7, 78
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\AbbreviationEditor.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 121, 0, 1, 16, 138
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\AnimatedSearchBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 73, 0, 1, 13, 87
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\Avatar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 38, 0, 0, 5, 43
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\AwaitingResultCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 66, 0, 0, 4, 70
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\BadgeList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 177, 0, 4, 13, 194
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\components\BadgeTierScrollView.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 144, 0, 10, 19, 173
